hyperparameters_size,5
env_name,MiniGrid-Empty-5x5-v0
discount_rate,0.9
learning_rate,0.01
lambda,0.9
n0,10
Episode,Step,Total Reward,q_value_table_length
657,12727,0.919,29
658,12736,0.919,29
659,12745,0.919,29
660,12754,0.919,29
661,12764,0.91,29
662,12773,0.919,29
663,12782,0.919,29
664,12793,0.901,29
665,12806,0.883,29
666,12815,0.919,29
667,12824,0.919,29
668,12833,0.919,29
669,12842,0.919,29
670,12851,0.919,29
671,12860,0.919,29
672,12869,0.919,29
673,12878,0.919,29
674,12887,0.919,29
675,12896,0.919,29
676,12905,0.919,29
677,12914,0.919,29
678,12923,0.919,29
679,12932,0.919,29
680,12941,0.919,29
681,12950,0.919,29
682,12959,0.919,29
683,12968,0.919,29
684,12977,0.919,29
685,12986,0.919,29
686,12995,0.919,29
687,13004,0.919,29
688,13013,0.919,29
689,13022,0.919,29
690,13031,0.919,29
691,13040,0.919,29
692,13049,0.919,29
693,13058,0.919,29
694,13067,0.919,29
695,13077,0.91,29
696,13086,0.919,29
697,13095,0.919,29
698,13104,0.919,29
699,13114,0.91,29
700,13124,0.91,29
701,13133,0.919,29
702,13142,0.919,29
703,13151,0.919,29
704,13160,0.919,29
705,13169,0.919,29
706,13178,0.919,29
707,13187,0.919,29
708,13196,0.919,29
709,13205,0.919,29
710,13214,0.919,29
711,13223,0.919,29
712,13232,0.919,29
713,13241,0.919,29
714,13250,0.919,29
715,13259,0.919,29
716,13268,0.919,29
717,13277,0.919,29
718,13288,0.901,29
719,13298,0.91,29
720,13307,0.919,29
721,13316,0.919,29
722,13325,0.919,29
723,13334,0.919,29
724,13344,0.91,29
725,13353,0.919,29
726,13362,0.919,29
727,13371,0.919,29
728,13380,0.919,29
729,13389,0.919,29
730,13398,0.919,29
731,13408,0.91,29
732,13417,0.919,29
733,13426,0.919,29
734,13435,0.919,29
735,13444,0.919,29
736,13453,0.919,29
737,13462,0.919,29
738,13471,0.919,29
739,13480,0.919,29
740,13489,0.919,29
741,13498,0.919,29
742,13507,0.919,29
743,13516,0.919,29
744,13525,0.919,29
745,13534,0.919,29
746,13543,0.919,29
747,13552,0.919,29
748,13561,0.919,29
749,13570,0.919,29
750,13579,0.919,29
751,13588,0.919,29
752,13597,0.919,29
